id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Iris-setosa,Iris-versicolor,Iris-virginica
68,6.3,2.3,4.4,1.3,0,1,0
69,5.6,3,4.1,1.3,0,1,0
70,5.5,2.5,4,1.3,0,1,0
71,5.5,2.6,4.4,1.2,0,1,0
72,6.1,3,4.6,1.4,0,1,0
73,5.8,2.6,4,1.2,0,1,0
74,5,2.3,3.3,1,0,1,0
75,5.6,2.7,4.2,1.3,0,1,0
76,5.7,3,4.2,1.2,0,1,0
77,5.7,2.9,4.2,1.3,0,1,0
78,6.2,2.9,4.3,1.3,0,1,0
79,5.1,2.5,3,1.1,0,1,0
80,5.7,2.8,4.1,1.3,0,1,0
81,6.3,3.3,6,2.5,0,0,1
82,5.8,2.7,5.1,1.9,0,0,1
83,7.1,3,5.9,2.1,0,0,1
84,6.3,2.9,5.6,1.8,0,0,1
85,6.5,3,5.8,2.2,0,0,1
60,7.6,3,6.6,2.1,0,0,1
61,4.9,2.5,4.5,1.7,0,0,1
62,7.3,2.9,6.3,1.8,0,0,1
63,6.7,2.5,5.8,1.8,0,0,1
64,7.2,3.6,6.1,2.5,0,0,1
65,6.5,3.2,5.1,2,0,0,1
66,6.4,2.7,5.3,1.9,0,0,1
67,6.8,3,5.5,2.1,0,0,1
68,5.7,2.5,5,2,0,0,1
69,5.8,2.8,5.1,2.4,0,0,1
70,6.4,3.2,5.3,2.3,0,0,1
71,6.5,3,5.5,1.8,0,0,1
72,7.7,3.8,6.7,2.2,0,0,1
73,7.7,2.6,6.9,2.3,0,0,1
74,6,2.2,5,1.5,0,0,1
75,6.9,3.2,5.7,2.3,0,0,1
76,5.6,2.8,4.9,2,0,0,1
77,7.7,2.8,6.7,2,0,0,1
60,6.3,2.7,4.9,1.8,0,0,1
61,6.7,3.3,5.7,2.1,0,0,1
62,7.2,3.2,6,1.8,0,0,1
63,6.2,2.8,4.8,1.8,0,0,1
64,6.1,3,4.9,1.8,0,0,1
65,6.4,2.8,5.6,2.1,0,0,1
66,7.2,3,5.8,1.6,0,0,1
67,7.4,2.8,6.1,1.9,0,0,1
68,7.9,3.8,6.4,2,0,0,1
69,6.4,2.8,5.6,2.2,0,0,1
70,6.3,2.8,5.1,1.5,0,0,1
71,6.1,2.6,5.6,1.4,0,0,1
72,7.7,3,6.1,2.3,0,0,1
73,6.3,3.4,5.6,2.4,0,0,1
74,6.4,3.1,5.5,1.8,0,0,1
75,6,3,4.8,1.8,0,0,1
76,6.9,3.1,5.4,2.1,0,0,1
